Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team
JC Buttler,17,17,2,863,116,57.53,579,149.05,4,4,0,83,45,RR
KL Rahul,15,15,3,616,103*,51.33,455,135.38,2,4,3,45,30,LSG
Q de Kock,15,15,1,508,140*,36.28,341,148.97,1,3,0,47,23,LSG
HH Pandya,15,15,4,487,87*,44.27,371,131.26,0,4,0,49,12,GT
Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,2,51,11,GT
DA Miller,16,16,9,481,94*,68.71,337,142.72,0,2,0,32,23,GT
F du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,2,49,13,RCB
S Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,0,47,12,PBKS
SV Samson,17,17,1,458,55,28.62,312,146.79,0,2,0,43,26,RR
DJ Hooda,15,14,0,451,59,32.21,330,136.66,0,4,0,36,18,LSG
LS Livingstone,14,14,2,437,70,36.41,240,182.08,0,4,0,29,34,PBKS
DA Warner,12,12,3,432,92*,48,287,150.52,0,5,1,52,15,DC
Abhishek Sharma,14,14,0,426,75,30.42,320,133.12,0,2,1,47,13,SRH
Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,1,45,11,MI
RA Tripathi,14,14,3,413,76,37.54,261,158.23,0,3,2,40,20,SRH
SS Iyer,14,14,1,401,85,30.84,298,134.56,0,3,0,41,11,KKR
NT Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,1,29,16,MI
AK Markram,14,12,4,381,68*,47.62,274,139.05,0,3,0,25,19,SRH
D Padikkal,17,17,0,376,54,22.11,306,122.87,0,1,1,40,14,RR
RD Gaikwad,14,14,0,368,99,26.28,291,126.46,0,3,2,33,14,CSK
N Rana,14,14,1,361,57,27.76,251,143.82,0,2,1,29,22,KKR
V Kohli,16,16,1,341,73,22.73,294,115.98,0,2,3,32,8,RCB
RR Pant,14,13,2,340,44,30.9,224,151.78,0,0,0,35,16,DC
AD Russell,14,12,3,335,70*,37.22,192,174.47,0,1,2,18,32,KKR
RM Patidar,8,7,1,333,112*,55.5,218,152.75,1,2,0,27,18,RCB
KD Karthik,16,16,10,330,66*,55,180,183.33,0,1,1,27,22,RCB
WP Saha,11,11,1,317,68,31.7,259,122.39,0,3,1,40,7,GT
SO Hetmyer,15,15,8,314,59*,44.85,204,153.92,0,1,0,21,21,RR
N Pooran,14,13,5,306,64*,38.25,212,144.33,0,2,1,16,21,SRH
SA Yadav,8,8,1,303,68*,43.28,208,145.67,0,3,0,23,16,MI
GJ Maxwell,13,13,2,301,55,27.36,178,169.1,0,1,1,31,15,RCB
S Dube,11,11,1,289,95*,28.9,185,156.21,0,2,1,22,16,CSK
PP Shaw,10,10,0,283,61,28.3,185,152.97,0,2,1,37,10,DC
AT Rayudu,13,11,0,274,78,24.9,224,122.32,0,1,0,25,15,CSK
RG Sharma,14,14,0,268,48,19.14,223,120.17,0,0,1,28,13,MI
YBK Jaiswal,10,10,0,258,68,25.8,194,132.98,0,2,0,28,10,RR
JM Bairstow,11,11,0,253,66,23,175,144.57,0,2,0,34,9,PBKS
DP Conway,7,7,1,252,87,42,173,145.66,0,3,1,22,12,CSK
MR Marsh,8,8,0,251,89,31.37,189,132.8,0,2,1,19,14,DC
R Powell,14,12,2,250,67*,25,167,149.7,0,1,2,10,22,DC
MM Ali,10,10,0,244,93,24.4,177,137.85,0,1,2,24,11,CSK
JM Sharma,12,10,2,234,44,29.25,143,163.63,0,0,0,22,12,PBKS
MS Dhoni,14,13,6,232,50*,33.14,188,123.4,0,1,0,21,10,CSK
RV Uthappa,12,11,0,230,88,20.9,171,134.5,0,2,1,19,14,CSK
Shahbaz Ahmed,16,11,3,219,45,27.37,181,120.99,0,0,0,14,9,RCB
R Tewatia,16,12,5,217,43*,31,147,147.61,0,0,0,22,9,GT
KS Williamson,13,13,2,216,57,19.63,231,93.5,0,1,1,16,8,SRH
PBB Rajapaksa,9,9,0,206,43,22.88,129,159.68,0,0,0,16,13,PBKS
MA Agarwal,13,12,0,196,52,16.33,160,122.5,0,1,1,23,6,PBKS
R Ashwin,17,12,5,191,50,27.28,135,141.48,0,1,0,14,9,RR
TH David,8,8,3,186,46,37.2,86,216.27,0,0,0,12,16,MI
KH Pandya,14,13,4,183,42,20.33,145,126.2,0,0,1,16,4,LSG
R Parag,17,14,3,183,56*,16.63,132,138.63,0,1,0,11,10,RR
AR Patel,13,10,6,182,42*,45.5,120,151.66,0,0,0,12,10,DC
VR Iyer,12,12,1,182,50*,16.54,169,107.69,0,1,1,17,7,KKR
RK Singh,7,7,2,174,42*,34.8,117,148.71,0,0,0,17,7,KKR
SW Billings,8,8,1,169,36,24.14,138,122.46,0,0,0,9,10,KKR
Lalit Yadav,12,8,1,161,48*,23,146,110.27,0,0,0,11,7,DC
A Badoni,13,11,3,161,54,20.12,130,123.84,0,1,1,11,7,LSG
D Brevis,7,7,0,161,49,23,113,142.47,0,0,0,14,11,MI
MS Wade,10,10,0,157,35,15.7,138,113.76,0,0,0,23,2,GT
MP Stoinis,11,10,2,156,38*,19.5,106,147.16,0,0,1,7,13,LSG
B Sai Sudharsan,5,5,1,145,65*,36.25,114,127.19,0,1,0,14,3,GT
KA Pollard,11,11,1,144,25,14.4,134,107.46,0,0,1,6,9,MI
AM Rahane,7,7,0,133,44,19,128,103.9,0,0,0,14,4,KKR
Anuj Rawat,8,8,0,129,66,16.12,118,109.32,0,1,3,10,7,RCB
SN Thakur,14,10,2,120,29*,15,87,137.93,0,0,0,7,7,DC
M Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,1,4,9,PBKS
RA Jadeja,10,10,4,116,26*,19.33,98,118.36,0,0,2,6,5,CSK
A Manohar,8,7,1,108,43,18,75,144,0,0,1,14,3,GT
Washington Sundar,9,7,0,101,40,14.42,69,146.37,0,0,0,9,3,SRH
SN Khan,6,5,2,91,36*,30.33,67,135.82,0,0,0,9,2,DC
Rashid Khan,16,8,4,91,40,22.75,44,206.81,0,0,3,3,9,GT
MK Pandey,6,6,0,88,38,14.66,80,110,0,0,0,9,2,LSG
AJ Finch,5,5,0,86,58,17.2,61,140.98,0,1,0,10,3,KKR
MK Lomror,7,5,0,86,42,17.2,57,150.87,0,0,0,7,4,RCB
RD Chahar,13,8,2,77,25*,12.83,68,113.23,0,0,2,7,4,PBKS
E Lewis,6,5,2,73,55*,24.33,56,130.35,0,1,0,8,3,LSG
SP Narine,14,10,2,71,22,8.87,40,177.5,0,0,3,6,6,KKR
Shashank Singh,10,5,1,69,25*,17.25,47,146.8,0,0,0,5,4,SRH
SS Prabhudessai,5,5,0,67,34,13.4,59,113.55,0,0,0,7,2,RCB
PJ Cummins,5,5,1,63,56*,15.75,24,262.5,0,1,2,5,6,KKR
JD Unadkat,5,5,2,59,19*,19.66,37,159.45,0,0,0,4,3,MI
JO Holder,12,8,2,58,16,9.66,44,131.81,0,0,0,2,6,LSG
R Shepherd,3,3,1,58,26*,29,41,141.46,0,0,0,2,5,SRH
UT Yadav,12,7,3,55,21,13.75,40,137.5,0,0,2,4,4,KKR
OF Smith,6,6,3,51,25*,17,44,115.9,0,0,1,1,5,PBKS
Kuldeep Yadav,14,7,6,48,16*,48,52,92.3,0,0,0,3,2,DC
