Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JC Buttler,Rajasthan Royals,17,17,2,863,116,57.53,579,149.05,4,4,0,83,45
KL Rahul,Lucknow Super Giants,15,15,3,616,103*,51.33,455,135.38,2,4,3,45,30
Q de Kock,Lucknow Super Giants,15,15,1,508,140*,36.28,341,148.97,1,3,0,47,23
HH Pandya,Gujarat Titans,15,15,4,487,87*,44.27,371,131.26,0,4,0,49,12
Shubman Gill,Gujarat Titans,16,16,2,483,96,34.5,365,132.32,0,4,2,51,11
DA Miller,Gujarat Titans,16,16,9,481,94*,68.71,337,142.72,0,2,0,32,23
F du Plessis,Royal Challengers Bangalore,16,16,1,468,96,31.2,367,127.52,0,3,2,49,13
S Dhawan,Punjab Kings,14,14,2,460,88*,38.33,375,122.66,0,3,0,47,12
SV Samson,Rajasthan Royals,17,17,1,458,55,28.62,312,146.79,0,2,0,43,26
DJ Hooda,Lucknow Super Giants,15,14,0,451,59,32.21,330,136.66,0,4,0,36,18
LS Livingstone,Punjab Kings,14,14,2,437,70,36.41,240,182.08,0,4,0,29,34
DA Warner,Delhi Capitals,12,12,3,432,92*,48,287,150.52,0,5,1,52,15
Abhishek Sharma,Sunrisers Hyderabad,14,14,0,426,75,30.42,320,133.12,0,2,1,47,13
Ishan Kishan,Mumbai Indians,14,14,1,418,81*,32.15,348,120.11,0,3,1,45,11
RA Tripathi,Sunrisers Hyderabad,14,14,3,413,76,37.54,261,158.23,0,3,2,40,20
SS Iyer,Kolkata Knight Riders,14,14,1,401,85,30.84,298,134.56,0,3,0,41,11
NT Tilak Varma,Mumbai Indians,14,14,3,397,61,36.09,303,131.02,0,2,1,29,16
AK Markram,Sunrisers Hyderabad,14,12,4,381,68*,47.62,274,139.05,0,3,0,25,19
D Padikkal,Rajasthan Royals,17,17,0,376,54,22.11,306,122.87,0,1,1,40,14
RD Gaikwad,Chennai Super Kings,14,14,0,368,99,26.28,291,126.46,0,3,2,33,14
N Rana,Kolkata Knight Riders,14,14,1,361,57,27.76,251,143.82,0,2,1,29,22
V Kohli,Royal Challengers Bangalore,16,16,1,341,73,22.73,294,115.98,0,2,3,32,8
RR Pant,Delhi Capitals,14,13,2,340,44,30.9,224,151.78,0,0,0,35,16
AD Russell,Kolkata Knight Riders,14,12,3,335,70*,37.22,192,174.47,0,1,2,18,32
RM Patidar,Royal Challengers Bangalore,8,7,1,333,112*,55.5,218,152.75,1,2,0,27,18
KD Karthik,Royal Challengers Bangalore,16,16,10,330,66*,55,180,183.33,0,1,1,27,22
WP Saha,Gujarat Titans,11,11,1,317,68,31.7,259,122.39,0,3,1,40,7
SO Hetmyer,Rajasthan Royals,15,15,8,314,59*,44.85,204,153.92,0,1,0,21,21
N Pooran,Sunrisers Hyderabad,14,13,5,306,64*,38.25,212,144.33,0,2,1,16,21
SA Yadav,Mumbai Indians,8,8,1,303,68*,43.28,208,145.67,0,3,0,23,16
GJ Maxwell,Royal Challengers Bangalore,13,13,2,301,55,27.36,178,169.1,0,1,1,31,15
S Dube,Chennai Super Kings,11,11,1,289,95*,28.9,185,156.21,0,2,1,22,16
PP Shaw,Delhi Capitals,10,10,0,283,61,28.3,185,152.97,0,2,1,37,10
AT Rayudu,Chennai Super Kings,13,11,0,274,78,24.9,224,122.32,0,1,0,25,15
RG Sharma,Mumbai Indians,14,14,0,268,48,19.14,223,120.17,0,0,1,28,13
YBK Jaiswal,Rajasthan Royals,10,10,0,258,68,25.8,194,132.98,0,2,0,28,10
JM Bairstow,Punjab Kings,11,11,0,253,66,23,175,144.57,0,2,0,34,9
DP Conway,Chennai Super Kings,7,7,1,252,87,42,173,145.66,0,3,1,22,12
MR Marsh,Delhi Capitals,8,8,0,251,89,31.37,189,132.8,0,2,1,19,14
R Powell,Delhi Capitals,14,12,2,250,67*,25,167,149.7,0,1,2,10,22
MM Ali,Chennai Super Kings,10,10,0,244,93,24.4,177,137.85,0,1,2,24,11
JM Sharma,Punjab Kings,12,10,2,234,44,29.25,143,163.63,0,0,0,22,12
MS Dhoni,Chennai Super Kings,14,13,6,232,50*,33.14,188,123.4,0,1,0,21,10
RV Uthappa,Chennai Super Kings,12,11,0,230,88,20.9,171,134.5,0,2,1,19,14
Shahbaz Ahmed,Royal Challengers Bangalore,16,11,3,219,45,27.37,181,120.99,0,0,0,14,9
R Tewatia,Gujarat Titans,16,12,5,217,43*,31,147,147.61,0,0,0,22,9
KS Williamson,Sunrisers Hyderabad,13,13,2,216,57,19.63,231,93.5,0,1,1,16,8
PBB Rajapaksa,Punjab Kings,9,9,0,206,43,22.88,129,159.68,0,0,0,16,13
MA Agarwal,Punjab Kings,13,12,0,196,52,16.33,160,122.5,0,1,1,23,6
R Ashwin,Rajasthan Royals,17,12,5,191,50,27.28,135,141.48,0,1,0,14,9
