Dt,Price,TICKER
31-Dec-19,"3,230.78",SP500
02-Jan-20,"3,257.85",SP500
03-Jan-20,"3,234.85",SP500
06-Jan-20,"3,246.28",SP500
07-Jan-20,"3,237.18",SP500
08-Jan-20,"3,253.05",SP500
09-Jan-20,"3,274.70",SP500
10-Jan-20,"3,265.35",SP500
13-Jan-20,"3,288.13",SP500
14-Jan-20,"3,283.15",SP500
15-Jan-20,"3,289.29",SP500
16-Jan-20,"3,316.81",SP500
17-Jan-20,"3,329.62",SP500
21-Jan-20,"3,320.79",SP500
22-Jan-20,"3,321.75",SP500
23-Jan-20,"3,325.54",SP500
24-Jan-20,"3,295.47",SP500
27-Jan-20,"3,243.63",SP500
28-Jan-20,"3,276.24",SP500
29-Jan-20,"3,273.40",SP500
30-Jan-20,"3,283.66",SP500
31-Jan-20,"3,225.52",SP500
03-Feb-20,"3,248.92",SP500
04-Feb-20,"3,297.59",SP500
05-Feb-20,"3,334.69",SP500
06-Feb-20,"3,345.78",SP500
07-Feb-20,"3,327.71",SP500
10-Feb-20,"3,352.09",SP500
11-Feb-20,"3,357.75",SP500
12-Feb-20,"3,379.45",SP500
13-Feb-20,"3,373.94",SP500
14-Feb-20,"3,380.16",SP500
18-Feb-20,"3,370.29",SP500
19-Feb-20,"3,386.15",SP500
20-Feb-20,"3,373.23",SP500
21-Feb-20,"3,337.75",SP500
24-Feb-20,"3,225.89",SP500
25-Feb-20,"3,128.21",SP500
26-Feb-20,"3,116.39",SP500
27-Feb-20,"2,978.76",SP500
28-Feb-20,"2,954.22",SP500
02-Mar-20,"3,090.23",SP500
03-Mar-20,"3,003.37",SP500
04-Mar-20,"3,130.12",SP500
05-Mar-20,"3,023.94",SP500
06-Mar-20,"2,972.37",SP500
09-Mar-20,"2,746.56",SP500
10-Mar-20,"2,882.23",SP500
11-Mar-20,"2,741.38",SP500
12-Mar-20,"2,480.64",SP500
13-Mar-20,"2,711.02",SP500
16-Mar-20,"2,386.13",SP500
17-Mar-20,"2,529.19",SP500
18-Mar-20,"2,398.10",SP500
19-Mar-20,"2,409.39",SP500
20-Mar-20,"2,304.92",SP500
23-Mar-20,"2,237.40",SP500
24-Mar-20,"2,447.33",SP500
25-Mar-20,"2,475.56",SP500
26-Mar-20,"2,630.07",SP500
27-Mar-20,"2,541.47",SP500
30-Mar-20,"2,626.65",SP500
31-Mar-20,"2,584.59",SP500
01-Apr-20,"2,470.50",SP500
02-Apr-20,"2,526.90",SP500
03-Apr-20,"2,488.65",SP500
06-Apr-20,"2,663.68",SP500
07-Apr-20,"2,659.41",SP500
08-Apr-20,"2,749.98",SP500
09-Apr-20,"2,789.82",SP500
13-Apr-20,"2,761.63",SP500
14-Apr-20,"2,846.06",SP500
15-Apr-20,"2,783.36",SP500
16-Apr-20,"2,799.55",SP500
17-Apr-20,"2,874.56",SP500
31-Dec-19,176.42,MMM
02-Jan-20,180,MMM
03-Jan-20,178.45,MMM
06-Jan-20,178.62,MMM
07-Jan-20,177.9,MMM
08-Jan-20,180.63,MMM
09-Jan-20,181.2,MMM
10-Jan-20,180.47,MMM
13-Jan-20,180.92,MMM
14-Jan-20,181.37,MMM
15-Jan-20,179.78,MMM
16-Jan-20,181.01,MMM
17-Jan-20,181.35,MMM
21-Jan-20,179.39,MMM
22-Jan-20,178.03,MMM
23-Jan-20,177.74,MMM
24-Jan-20,178.15,MMM
27-Jan-20,175.63,MMM
28-Jan-20,165.58,MMM
29-Jan-20,162,MMM
30-Jan-20,162.51,MMM
31-Jan-20,158.66,MMM
03-Feb-20,156.59,MMM
04-Feb-20,157.24,MMM
05-Feb-20,162.33,MMM
06-Feb-20,162.89,MMM
07-Feb-20,160.08,MMM
10-Feb-20,160.15,MMM
11-Feb-20,162.45,MMM
12-Feb-20,163.8,MMM
13-Feb-20,159.76,MMM
14-Feb-20,161.01,MMM
