Date,USD
09-07-18,68.6573
06-07-18,68.8757
05-07-18,68.7545
04-07-18,68.5312
03-07-18,68.6935
02-07-18,68.6227
29-06-18,68.5753
28-06-18,68.9389
27-06-18,68.5246
26-06-18,68.1676
25-06-18,68.1466
22-06-18,67.7695
21-06-18,68.195
20-06-18,68.0838
19-06-18,68.1511
18-06-18,68.0248
15-06-18,67.9739
14-06-18,67.6875
13-06-18,67.6251
12-06-18,67.4571
11-06-18,67.3353
08-06-18,67.5228
07-06-18,67.0181
06-06-18,67.0397
05-06-18,67.1794
04-06-18,67.0543
01-06-18,67.184
31-05-18,67.4526
30-05-18,67.6288
29-05-18,67.8201
28-05-18,67.443
25-05-18,68.26
24-05-18,68.3872
23-05-18,68.2139
22-05-18,68.0187
21-05-18,68.0883
18-05-18,67.9577
17-05-18,67.7156
16-05-18,67.8276
15-05-18,67.5288
14-05-18,67.3153
11-05-18,67.2203
10-05-18,67.3786
09-05-18,67.3815
08-05-18,67.0809
07-05-18,67.106
04-05-18,66.7681
03-05-18,66.6093
02-05-18,66.6636
27-04-18,66.7801
26-04-18,66.8299
25-04-18,66.6983
24-04-18,66.3622
23-04-18,66.2177
20-04-18,66.0167
19-04-18,65.7837
18-04-18,65.6814
17-04-18,65.6124
16-04-18,65.4476
13-04-18,65.2226
12-04-18,65.3496
11-04-18,65.1272
10-04-18,64.9368
09-04-18,64.9287
06-04-18,64.9884
05-04-18,65.0601
04-04-18,65.0232
03-04-18,65.024
28-03-18,65.0441
27-03-18,64.7973
26-03-18,64.9055
23-03-18,65.1333
22-03-18,65.0622
21-03-18,65.2162
20-03-18,65.1993
19-03-18,65.0375
16-03-18,64.8737
15-03-18,64.9366
14-03-18,64.9875
13-03-18,64.9567
12-03-18,65.0199
09-03-18,65.0784
08-03-18,64.9212
07-03-18,64.9627
06-03-18,64.9941
05-03-18,65.053
01-03-18,65.2261
28-02-18,65.1031
27-02-18,64.8514
26-02-18,64.6639
23-02-18,64.8227
22-02-18,65.0458
21-02-18,64.8161
20-02-18,64.5254
16-02-18,63.9097
15-02-18,63.9222
14-02-18,64.1259
12-02-18,64.2838
09-02-18,64.3686
08-02-18,64.1616
07-02-18,64.1377
06-02-18,64.2723
05-02-18,64.0295
02-02-18,64.0781
01-02-18,63.6113
31-01-18,63.6878
30-01-18,63.7534
29-01-18,63.547
25-01-18,63.4983
24-01-18,63.6439
23-01-18,63.7722
22-01-18,63.8895
19-01-18,63.7183
18-01-18,63.8431
17-01-18,63.9797
16-01-18,63.7602
15-01-18,63.4125
12-01-18,63.5263
11-01-18,63.7364
10-01-18,63.8264
09-01-18,63.469
08-01-18,63.3482
05-01-18,63.3823
04-01-18,63.3914
03-01-18,63.4833
02-01-18,63.6728
01-01-18,63.6697
29-12-17,63.9273
28-12-17,64.1716
27-12-17,64.1577
26-12-17,64.0538
22-12-17,64.0409
21-12-17,64.0883
20-12-17,64.0577
19-12-17,64.1205
18-12-17,64.1065
15-12-17,64.0958
14-12-17,64.2798
13-12-17,64.4525
12-12-17,64.4834
11-12-17,64.3616
08-12-17,64.4649
07-12-17,64.5388
06-12-17,64.4467
05-12-17,64.3764
04-12-17,64.3799
30-11-17,64.4332
29-11-17,64.4058
28-11-17,64.4206
27-11-17,64.6948
24-11-17,64.7328
23-11-17,64.7949
22-11-17,64.7453
21-11-17,65.0386
20-11-17,65.0565
17-11-17,64.8462
16-11-17,65.2969
15-11-17,65.3689
14-11-17,65.5171
13-11-17,65.4272
10-11-17,65.0147
09-11-17,64.8967
08-11-17,65.0592
07-11-17,64.8064
06-11-17,64.7267
03-11-17,64.5764
02-11-17,64.593
01-11-17,64.5256
31-10-17,64.7745
30-10-17,64.9338
27-10-17,65.0931
26-10-17,64.7888
25-10-17,65.1386
24-10-17,64.9256
23-10-17,65.0239
18-10-17,65.0649
17-10-17,64.9226
16-10-17,64.7603
13-10-17,64.9301
12-10-17,65.1003
11-10-17,65.2691
10-10-17,65.2652
09-10-17,65.3074
06-10-17,65.2276
05-10-17,65.1758
04-10-17,65.2899
03-10-17,65.5529
29-09-17,65.3552
28-09-17,65.7604
27-09-17,65.6947
26-09-17,65.3371
25-09-17,64.8357
22-09-17,64.9596
21-09-17,64.5256
20-09-17,64.3637
19-09-17,64.1769
18-09-17,64.0371
15-09-17,64.0774
14-09-17,64.0692
13-09-17,63.9818
12-09-17,63.9474
11-09-17,63.8859
08-09-17,63.8664
07-09-17,64.0276
06-09-17,64.2146
05-09-17,64.1164
04-09-17,64.0468
01-09-17,63.9804
31-08-17,64.0154
30-08-17,63.9431
29-08-17,64.0174
28-08-17,63.8701
24-08-17,64.0676
23-08-17,64.1272
22-08-17,64.1099
21-08-17,64.0285
18-08-17,64.1048
16-08-17,64.2428
14-08-17,64.0253
11-08-17,64.1693
10-08-17,63.9437
09-08-17,63.7491
08-08-17,63.7382
07-08-17,63.7375
04-08-17,63.7091
03-08-17,63.6314
02-08-17,64.069
01-08-17,64.0683
31-07-17,64.0773
28-07-17,64.1483
27-07-17,64.1216
26-07-17,64.4208
25-07-17,64.358
24-07-17,64.4494
21-07-17,64.3185
20-07-17,64.4273
19-07-17,64.3211
18-07-17,64.3301
17-07-17,64.3666
14-07-17,64.4539
13-07-17,64.4384
12-07-17,64.4969
11-07-17,64.5025
10-07-17,64.5405
07-07-17,64.7342
06-07-17,64.7779
05-07-17,64.7209
04-07-17,64.8168
03-07-17,64.7525
30-06-17,64.7379
29-06-17,64.4715
28-06-17,64.5288
27-06-17,64.4572
23-06-17,64.5365
22-06-17,64.495
21-06-17,64.6025
20-06-17,64.4672
19-06-17,64.3788
16-06-17,64.5883
15-06-17,64.2801
14-06-17,64.3141
13-06-17,64.4453
12-06-17,64.3407
09-06-17,64.2584
08-06-17,64.3554
07-06-17,64.4538
06-06-17,64.3516
05-06-17,64.3485
02-06-17,64.4208
01-06-17,64.4704
31-05-17,64.5459
30-05-17,64.6336
29-05-17,64.5565
26-05-17,64.5945
25-05-17,64.5088
24-05-17,64.8586
23-05-17,64.7751
22-05-17,64.5632
19-05-17,64.9906
18-05-17,64.3441
17-05-17,64.0214
16-05-17,64.0758
15-05-17,64.1188
12-05-17,64.3043
11-05-17,64.438
09-05-17,64.5065
08-05-17,64.2154
05-05-17,64.3079
04-05-17,64.2115
03-05-17,64.1439
02-05-17,64.2072
28-04-17,64.217
27-04-17,64.1141
26-04-17,64.0013
25-04-17,64.2776
24-04-17,64.4757
21-04-17,64.5701
20-04-17,64.6364
19-04-17,64.5443
18-04-17,64.5657
17-04-17,64.4053
13-04-17,64.3165
12-04-17,64.692
11-04-17,64.5438
10-04-17,64.4418
07-04-17,64.3928
06-04-17,64.9791
05-04-17,65.0438
03-04-17,64.9103
31-03-17,64.8386
30-03-17,64.9325
29-03-17,64.9552
27-03-17,65.0892
24-03-17,65.4581
23-03-17,65.422
22-03-17,65.4881
21-03-17,65.3117
20-03-17,65.3827
17-03-17,65.5411
16-03-17,65.3836
15-03-17,65.5146
14-03-17,66.18
10-03-17,66.688
09-03-17,66.7707
08-03-17,66.6362
07-03-17,66.6347
06-03-17,66.7559
03-03-17,66.8354
02-03-17,66.7433
01-03-17,66.8482
28-02-17,66.7375
27-02-17,66.7249
23-02-17,66.8351
22-02-17,66.9644
20-02-17,66.9771
17-02-17,67.0467
16-02-17,66.9468
15-02-17,66.9193
14-02-17,66.9439
13-02-17,66.9663
10-02-17,66.9367
09-02-17,67.0123
08-02-17,67.3058
07-02-17,67.3692
06-02-17,67.1958
03-02-17,67.3825
02-02-17,67.448
01-02-17,67.6458
31-01-17,67.8125
30-01-17,68.0426
27-01-17,68.2043
25-01-17,68.1556
24-01-17,68.157
23-01-17,68.0843
20-01-17,68.0883
19-01-17,68.1766
18-01-17,67.9364
17-01-17,68.0509
16-01-17,68.1558
13-01-17,68.231
12-01-17,68.0858
11-01-17,68.2276
10-01-17,68.0641
09-01-17,68.1863
06-01-17,67.9522
05-01-17,67.7884
04-01-17,68.1791
03-01-17,68.0864
02-01-17,68.0225
30-12-16,67.9547
29-12-16,68.1241
28-12-16,68.225
27-12-16,67.9967
26-12-16,67.8331
23-12-16,67.9117
22-12-16,67.9136
21-12-16,67.8724
20-12-16,67.8954
19-12-16,67.7262
16-12-16,67.7777
15-12-16,67.7994
14-12-16,67.5604
13-12-16,67.4867
09-12-16,67.584
08-12-16,67.4325
07-12-16,67.8707
06-12-16,68.0322
05-12-16,68.1703
02-12-16,68.3689
01-12-16,68.3734
30-11-16,68.526
29-11-16,68.6535
28-11-16,68.7235
25-11-16,68.4626
24-11-16,68.656
23-11-16,68.4772
22-11-16,68.2317
21-11-16,68.2575
18-11-16,68.0937
17-11-16,67.9106
16-11-16,67.7791
15-11-16,67.7173
11-11-16,67.0292
10-11-16,66.4273
09-11-16,66.7968
08-11-16,66.7073
07-11-16,66.7301
04-11-16,66.7219
03-11-16,66.6942
02-11-16,66.8294
01-11-16,66.714
28-10-16,66.8566
27-10-16,66.8854
26-10-16,66.7621
25-10-16,66.8777
24-10-16,66.8625
21-10-16,66.8943
20-10-16,66.7411
19-10-16,66.7145
18-10-16,66.7268
17-10-16,66.7779
14-10-16,66.8481
13-10-16,66.8473
10-10-16,66.5856
07-10-16,66.7875
06-10-16,66.6322
05-10-16,66.5699
04-10-16,66.5559
03-10-16,66.533
30-09-16,66.6596
29-09-16,66.5521
28-09-16,66.4482
27-09-16,66.4627
26-09-16,66.7095
23-09-16,66.6519
22-09-16,66.8451
21-09-16,67.0631
20-09-16,67.02
19-09-16,66.8737
16-09-16,66.8804
15-09-16,67.0248
14-09-16,66.9642
12-09-16,66.9017
09-09-16,66.5462
08-09-16,66.4483
07-09-16,66.3618
06-09-16,66.5469
02-09-16,66.8405
01-09-16,66.9539
31-08-16,66.9813
30-08-16,67.0879
29-08-16,67.181
26-08-16,67.0299
25-08-16,67.0876
24-08-16,67.132
23-08-16,67.0885
22-08-16,67.194
19-08-16,66.9296
18-08-16,66.7939
16-08-16,66.8983
12-08-16,66.8252
11-08-16,66.8571
10-08-16,66.7442
09-08-16,66.9633
08-08-16,66.7407
05-08-16,66.8141
04-08-16,66.9447
03-08-16,66.9368
02-08-16,66.7612
01-08-16,66.7412
29-07-16,67.034
28-07-16,67.055
27-07-16,67.2362
26-07-16,67.368
25-07-16,67.243
22-07-16,67.1355
21-07-16,67.2035
20-07-16,67.172
19-07-16,67.1462
18-07-16,67.1015
15-07-16,67.0655
14-07-16,66.9136
13-07-16,67.2046
12-07-16,67.1471
11-07-16,67.1426
08-07-16,67.4584
07-07-16,67.4972
05-07-16,67.4028
04-07-16,67.1848
01-07-16,67.441
30-06-16,67.6166
29-06-16,67.7443
28-06-16,67.8867
27-06-16,67.9
24-06-16,68.0144
23-06-16,67.3702
22-06-16,67.557
21-06-16,67.4767
20-06-16,67.4087
17-06-16,67.1682
16-06-16,67.2068
15-06-16,67.1596
14-06-16,67.152
13-06-16,67.0737
10-06-16,66.7948
09-06-16,66.625
08-06-16,66.737
07-06-16,66.8305
06-06-16,66.9614
03-06-16,67.2415
02-06-16,67.2533
01-06-16,67.3526
31-05-16,67.203
30-05-16,67.3398
27-05-16,67.0613
26-05-16,67.2855
25-05-16,67.4467
24-05-16,67.706
23-05-16,67.3492
20-05-16,67.4076
19-05-16,67.2307
18-05-16,66.9131
17-05-16,66.7233
16-05-16,66.8216
13-05-16,66.7609
12-05-16,66.5977
11-05-16,66.6958
10-05-16,66.7224
09-05-16,66.4379
06-05-16,66.583
05-05-16,66.5105
04-05-16,66.5388
