Date,USD
08-May-20,75.4411
06-May-20,75.6911
05-May-20,75.5715
04-May-20,75.7902
30-Apr-20,75.115
29-Apr-20,75.6961
28-Apr-20,76.371
27-Apr-20,76.1269
24-Apr-20,76.4173
23-Apr-20,76.0635
22-Apr-20,76.8084
21-Apr-20,76.6516
20-Apr-20,76.6335
17-Apr-20,76.5444
16-Apr-20,76.7408
15-Apr-20,76.2743
13-Apr-20,76.3617
09-Apr-20,76.4577
08-Apr-20,76.0867
07-Apr-20,75.8438
03-Apr-20,75.8276
31-Mar-20,75.3859
30-Mar-20,75.3451
27-Mar-20,74.8434
26-Mar-20,75.2392
24-Mar-20,76.1522
23-Mar-20,75.8814
20-Mar-20,75.0063
19-Mar-20,75.0583
18-Mar-20,74.1727
17-Mar-20,74.0309
16-Mar-20,74.2723
13-Mar-20,74.0694
12-Mar-20,74.1694
11-Mar-20,73.8128
09-Mar-20,73.9538
06-Mar-20,73.6629
05-Mar-20,73.2824
04-Mar-20,73.5603
03-Mar-20,72.8733
02-Mar-20,72.242
28-Feb-20,72.1895
27-Feb-20,71.6124
26-Feb-20,71.7291
25-Feb-20,71.8598
24-Feb-20,71.8522
20-Feb-20,71.5899
18-Feb-20,71.4013
17-Feb-20,71.4259
14-Feb-20,71.3865
13-Feb-20,71.4699
12-Feb-20,71.258
11-Feb-20,71.2291
10-Feb-20,71.3046
07-Feb-20,71.2476
06-Feb-20,71.2558
05-Feb-20,71.2664
04-Feb-20,71.135
03-Feb-20,71.5803
31-Jan-20,71.5096
30-Jan-20,71.4772
29-Jan-20,71.1875
28-Jan-20,71.3263
27-Jan-20,71.3948
24-Jan-20,71.2404
23-Jan-20,71.2437
22-Jan-20,71.2056
21-Jan-20,71.1825
20-Jan-20,71.057
17-Jan-20,71.0436
16-Jan-20,70.9065
15-Jan-20,70.8753
14-Jan-20,70.9242
13-Jan-20,70.8115
10-Jan-20,71.1136
09-Jan-20,71.4221
08-Jan-20,72.0178
07-Jan-20,71.7764
06-Jan-20,72.0919
03-Jan-20,71.6949
02-Jan-20,71.3429
01-Jan-20,71.3717
31-Dec-19,71.274
30-Dec-19,71.3449
27-Dec-19,71.2214
26-Dec-19,71.2699
24-Dec-19,71.1959
23-Dec-19,71.1699
20-Dec-19,71.1569
19-Dec-19,71.0813
18-Dec-19,71.0611
17-Dec-19,70.9687
16-Dec-19,70.941
13-Dec-19,70.7178
12-Dec-19,70.7494
11-Dec-19,70.8679
10-Dec-19,70.8962
09-Dec-19,71.162
06-Dec-19,71.3165
05-Dec-19,71.5476
04-Dec-19,71.78
03-Dec-19,71.6006
02-Dec-19,71.7217
29-Nov-19,71.7255
28-Nov-19,71.5147
27-Nov-19,71.3627
26-Nov-19,71.5909
25-Nov-19,71.6468
22-Nov-19,71.8514
21-Nov-19,71.7996
20-Nov-19,71.6756
19-Nov-19,71.8138
18-Nov-19,71.7131
15-Nov-19,71.7109
14-Nov-19,72.0501
13-Nov-19,71.7002
11-Nov-19,71.445
08-Nov-19,71.2494
07-Nov-19,71.0079
06-Nov-19,70.8861
05-Nov-19,70.7283
04-Nov-19,70.6821
01-Nov-19,70.8798
31-Oct-19,70.8095
30-Oct-19,70.9915
29-Oct-19,70.7303
25-Oct-19,70.9593
24-Oct-19,70.9338
23-Oct-19,70.9373
22-Oct-19,70.8731
18-Oct-19,71.1988
17-Oct-19,71.4087
16-Oct-19,71.5051
15-Oct-19,71.3186
14-Oct-19,71.0188
11-Oct-19,71.0272
10-Oct-19,71.0516
09-Oct-19,71.1121
07-Oct-19,70.9763
04-Oct-19,70.8703
03-Oct-19,71.1163
01-Oct-19,70.9109
30-Sep-19,70.685
27-Sep-19,70.8381
26-Sep-19,70.9021
25-Sep-19,71.0395
24-Sep-19,70.8477
23-Sep-19,70.9212
20-Sep-19,70.937
19-Sep-19,71.1382
18-Sep-19,71.3132
17-Sep-19,71.8196
16-Sep-19,71.5362
13-Sep-19,70.9387
12-Sep-19,71.3175
11-Sep-19,71.6637
09-Sep-19,71.5886
06-Sep-19,71.7323
05-Sep-19,71.8611
04-Sep-19,72.07
03-Sep-19,72.1899
30-Aug-19,71.7586
29-Aug-19,71.9971
28-Aug-19,71.7041
27-Aug-19,71.8206
26-Aug-19,72.1814
23-Aug-19,71.7267
22-Aug-19,71.7033
21-Aug-19,71.5508
20-Aug-19,71.6483
19-Aug-19,71.3419
16-Aug-19,71.2872
14-Aug-19,71.0968
13-Aug-19,71.2365
09-Aug-19,70.5185
08-Aug-19,70.8497
07-Aug-19,70.9553
06-Aug-19,70.7226
05-Aug-19,70.3584
02-Aug-19,69.3981
01-Aug-19,69.058
31-Jul-19,68.8569
30-Jul-19,68.75
29-Jul-19,68.9023
