Date,NSE500TRI
26-Nov-1998,611.43
27-Nov-1998,603.22
28-Nov-1998,602.15
30-Nov-1998,607.47
01-Dec-1998,606.23
02-Dec-1998,609.96
03-Dec-1998,607.86
04-Dec-1998,613.86
07-Dec-1998,625.44
08-Dec-1998,629.06
09-Dec-1998,631
10-Dec-1998,634.02
11-Dec-1998,637.94
14-Dec-1998,633.22
15-Dec-1998,620.97
16-Dec-1998,625.51
17-Dec-1998,611.68
18-Dec-1998,615.5
21-Dec-1998,633.04
22-Dec-1998,630.74
23-Dec-1998,632.89
24-Dec-1998,634.11
28-Dec-1998,649.54
29-Dec-1998,647.47
30-Dec-1998,668.65
31-Dec-1998,658.58
01-Jan-1999,663.87
04-Jan-1999,670.62
05-Jan-1999,678.2
06-Jan-1999,694.07
07-Jan-1999,708.15
08-Jan-1999,728.68
11-Jan-1999,733.4
12-Jan-1999,718.84
13-Jan-1999,722.05
14-Jan-1999,718.76
15-Jan-1999,704.36
18-Jan-1999,709.21
19-Jan-1999,694.65
21-Jan-1999,725.37
22-Jan-1999,721.14
25-Jan-1999,718.06
27-Jan-1999,739.52
28-Jan-1999,725.2
29-Jan-1999,728.72
01-Feb-1999,708.76
02-Feb-1999,697.9
03-Feb-1999,715.92
04-Feb-1999,705.96
05-Feb-1999,702.95
08-Feb-1999,690.44
09-Feb-1999,694.51
10-Feb-1999,718.35
11-Feb-1999,721.29
12-Feb-1999,729.05
15-Feb-1999,718.72
16-Feb-1999,724.88
17-Feb-1999,737.08
18-Feb-1999,738.8
19-Feb-1999,739
22-Feb-1999,720.18
23-Feb-1999,714.76
24-Feb-1999,724.41
25-Feb-1999,723.54
26-Feb-1999,714.67
27-Feb-1999,743.55
01-Mar-1999,765.66
03-Mar-1999,790.06
04-Mar-1999,778.57
05-Mar-1999,787.44
08-Mar-1999,795.06
09-Mar-1999,799.06
10-Mar-1999,809.02
11-Mar-1999,792.14
12-Mar-1999,803.75
15-Mar-1999,808.17
16-Mar-1999,797.08
17-Mar-1999,803.38
18-Mar-1999,817.81
19-Mar-1999,808.27
20-Mar-1999,808.86
22-Mar-1999,811.88
23-Mar-1999,814.22
24-Mar-1999,812.17
25-Mar-1999,808.18
26-Mar-1999,793.5
30-Mar-1999,797.44
31-Mar-1999,821.18
01-Apr-1999,815.1
05-Apr-1999,774.09
06-Apr-1999,776.24
07-Apr-1999,782.43
08-Apr-1999,774.08
09-Apr-1999,751.95
12-Apr-1999,752.01
13-Apr-1999,746.26
15-Apr-1999,723.54
16-Apr-1999,778.5
17-Apr-1999,723.3
19-Apr-1999,741.76
20-Apr-1999,743.64
21-Apr-1999,749.31
22-Apr-1999,737.17
23-Apr-1999,735.28
26-Apr-1999,694.29
28-Apr-1999,702.64
29-Apr-1999,723.22
30-Apr-1999,737.22
03-May-1999,732.51
04-May-1999,761.42
05-May-1999,774.56
06-May-1999,788.89
07-May-1999,799.22
10-May-1999,819.1
11-May-1999,831.23
12-May-1999,820.88
13-May-1999,844.72
14-May-1999,855.13
17-May-1999,842.84
18-May-1999,849.78
19-May-1999,870.58
20-May-1999,865.31
21-May-1999,848.59
24-May-1999,849.84
25-May-1999,855.37
26-May-1999,843.59
27-May-1999,817.56
28-May-1999,804.26
31-May-1999,839.73
01-Jun-1999,831.39
02-Jun-1999,835.72
03-Jun-1999,844.89
04-Jun-1999,855.57
07-Jun-1999,856.06
08-Jun-1999,870.08
09-Jun-1999,863.56
10-Jun-1999,866.22
11-Jun-1999,851.55
14-Jun-1999,837.58
15-Jun-1999,828.37
16-Jun-1999,847.65
17-Jun-1999,862.99
18-Jun-1999,861.08
21-Jun-1999,880.11
22-Jun-1999,889.85
23-Jun-1999,878.72
24-Jun-1999,871.72
25-Jun-1999,870.79
28-Jun-1999,881.12
29-Jun-1999,880.88
30-Jun-1999,880.76
01-Jul-1999,878.48
02-Jul-1999,886.8
05-Jul-1999,910.38
06-Jul-1999,920.71
07-Jul-1999,924.45
08-Jul-1999,924.21
09-Jul-1999,936.12
12-Jul-1999,982.1
13-Jul-1999,983.75
14-Jul-1999,1000.35
15-Jul-1999,980.64
16-Jul-1999,988.7
19-Jul-1999,1007.92
20-Jul-1999,984.89
21-Jul-1999,1004.02
22-Jul-1999,1011.54
23-Jul-1999,1003.48
26-Jul-1999,995.28
27-Jul-1999,986.62
28-Jul-1999,999.37
29-Jul-1999,998.41
30-Jul-1999,990.45
02-Aug-1999,972.74
03-Aug-1999,976.39
04-Aug-1999,1005.13
05-Aug-1999,1001.56
06-Aug-1999,1001.2
09-Aug-1999,1013.54
10-Aug-1999,1003.6
11-Aug-1999,1010.64
12-Aug-1999,1012.39
13-Aug-1999,1003.14
16-Aug-1999,1021.08
17-Aug-1999,1040.29
18-Aug-1999,1072.01
19-Aug-1999,1054.73
20-Aug-1999,1061.56
23-Aug-1999,1077.71
24-Aug-1999,1088.82
25-Aug-1999,1077.55
26-Aug-1999,1098.29
27-Aug-1999,1105.14
30-Aug-1999,1103.5
31-Aug-1999,1096.6
01-Sep-1999,1090.54
02-Sep-1999,1065.97
03-Sep-1999,1066.58
06-Sep-1999,1078.91
07-Sep-1999,1073.13
08-Sep-1999,1090.5
09-Sep-1999,1088.05
10-Sep-1999,1087.07
14-Sep-1999,1078.67
15-Sep-1999,1079.26
16-Sep-1999,1061.44
17-Sep-1999,1070.6
20-Sep-1999,1071.18
21-Sep-1999,1068.67
22-Sep-1999,1098.82
23-Sep-1999,1116.47
24-Sep-1999,1129.12
27-Sep-1999,1113.94
28-Sep-1999,1105.26
29-Sep-1999,1131.9
30-Sep-1999,1125.04
01-Oct-1999,1114.63
04-Oct-1999,1084.43
05-Oct-1999,1098.03
06-Oct-1999,1110.95
07-Oct-1999,1169.73
08-Oct-1999,1184.97
11-Oct-1999,1186.16
12-Oct-1999,1197.89
13-Oct-1999,1214.35
14-Oct-1999,1223.59
15-Oct-1999,1177.13
18-Oct-1999,1185.44
20-Oct-1999,1215.12
21-Oct-1999,1187.18
22-Oct-1999,1173.04
23-Oct-1999,1184.74
25-Oct-1999,1151.17
26-Oct-1999,1154.94
27-Oct-1999,1149.81
28-Oct-1999,1107.21
29-Oct-1999,1067.56
01-Nov-1999,1009.42
02-Nov-1999,1065.52
03-Nov-1999,1060.06
04-Nov-1999,1068.49
05-Nov-1999,1091.84
07-Nov-1999,1095.99
09-Nov-1999,1102.28
10-Nov-1999,1120.9
11-Nov-1999,1107.59
12-Nov-1999,1104.31
15-Nov-1999,1094.52
16-Nov-1999,1094.3
17-Nov-1999,1089.42
18-Nov-1999,1092.57
19-Nov-1999,1095.72
22-Nov-1999,1107.92
24-Nov-1999,1131.13
25-Nov-1999,1138.62
26-Nov-1999,1138.64
29-Nov-1999,1141.88
30-Nov-1999,1140.74
01-Dec-1999,1151.11
02-Dec-1999,1168.76
03-Dec-1999,1178.97
06-Dec-1999,1205.94
07-Dec-1999,1216.06
08-Dec-1999,1206.73
09-Dec-1999,1218.88
10-Dec-1999,1224.83
13-Dec-1999,1226.6
14-Dec-1999,1217.15
15-Dec-1999,1211.91
16-Dec-1999,1237.39
17-Dec-1999,1242.98
20-Dec-1999,1256.7
21-Dec-1999,1259.2
22-Dec-1999,1310.7
23-Dec-1999,1316.15
24-Dec-1999,1294.49
27-Dec-1999,1265.38
28-Dec-1999,1282.48
29-Dec-1999,1309.83
30-Dec-1999,1323.19
03-Jan-2000,1418.19
04-Jan-2000,1466.42
05-Jan-2000,1431.64
06-Jan-2000,1434.74
07-Jan-2000,1401.45
10-Jan-2000,1409.42
11-Jan-2000,1358.12
12-Jan-2000,1402.33
13-Jan-2000,1386.62
14-Jan-2000,1385.81
17-Jan-2000,1393.82
18-Jan-2000,1391.37
19-Jan-2000,1420.23
20-Jan-2000,1410.04
21-Jan-2000,1439.67
24-Jan-2000,1441.32
25-Jan-2000,1442.21
27-Jan-2000,1469
28-Jan-2000,1493.71
31-Jan-2000,1445.58
01-Feb-2000,1466.38
02-Feb-2000,1511.53
03-Feb-2000,1546.02
04-Feb-2000,1568.71
07-Feb-2000,1579.73
08-Feb-2000,1579.24
09-Feb-2000,1612.81
10-Feb-2000,1657.01
11-Feb-2000,1693.79
14-Feb-2000,1695.99
15-Feb-2000,1693.21
16-Feb-2000,1731
17-Feb-2000,1794.13
18-Feb-2000,1816.81
21-Feb-2000,1875.14
22-Feb-2000,1831.47
23-Feb-2000,1771.57
24-Feb-2000,1773.56
25-Feb-2000,1710.27
28-Feb-2000,1712.44
29-Feb-2000,1633.13
01-Mar-2000,1717.65
02-Mar-2000,1739.36
03-Mar-2000,1682.54
06-Mar-2000,1705.13
07-Mar-2000,1681.11
08-Mar-2000,1675.08
09-Mar-2000,1617.4
10-Mar-2000,1589.6
13-Mar-2000,1526.37
14-Mar-2000,1504.04
15-Mar-2000,1507.76
16-Mar-2000,1458.44
21-Mar-2000,1429.27
22-Mar-2000,1467.79
23-Mar-2000,1465.55
24-Mar-2000,1498.06
27-Mar-2000,1508.62
28-Mar-2000,1524.11
29-Mar-2000,1536.23
30-Mar-2000,1494.65
31-Mar-2000,1455.31
03-Apr-2000,1416.9
04-Apr-2000,1317.03
05-Apr-2000,1317.66
06-Apr-2000,1329.19
07-Apr-2000,1416.81
10-Apr-2000,1482.24
11-Apr-2000,1494.6
12-Apr-2000,1473.06
13-Apr-2000,1407.96
17-Apr-2000,1320.65
18-Apr-2000,1278.58
19-Apr-2000,1245.85
20-Apr-2000,1240.59
24-Apr-2000,1194.34
25-Apr-2000,1177.66
26-Apr-2000,1237.08
27-Apr-2000,1202.29
28-Apr-2000,1180.4
02-May-2000,1100.01
03-May-2000,1072.36
04-May-2000,1130.65
05-May-2000,1178.97
08-May-2000,1126.68
09-May-2000,1150.54
10-May-2000,1121.98
11-May-2000,1065.03
12-May-2000,1024.78
15-May-2000,1035.17
16-May-2000,1038.49
17-May-2000,1036.83
18-May-2000,1026.22
19-May-2000,1003.1
22-May-2000,962.4
23-May-2000,964.01
24-May-2000,969.29
25-May-2000,978.61
26-May-2000,982.72
29-May-2000,1005.21
30-May-2000,1041.33
31-May-2000,1070.44
01-Jun-2000,1049.98
02-Jun-2000,1083.06
05-Jun-2000,1107.72
06-Jun-2000,1129.15
07-Jun-2000,1137.27
08-Jun-2000,1163.51
09-Jun-2000,1158.22
12-Jun-2000,1139.57
13-Jun-2000,1136.96
14-Jun-2000,1150.84
15-Jun-2000,1161.88
16-Jun-2000,1194.79
19-Jun-2000,1214.07
20-Jun-2000,1227.73
21-Jun-2000,1192.27
22-Jun-2000,1204.72
23-Jun-2000,1180.22
26-Jun-2000,1175.13
27-Jun-2000,1171.48
28-Jun-2000,1188.06
29-Jun-2000,1195.35
30-Jun-2000,1188.6
03-Jul-2000,1213.41
04-Jul-2000,1223.11
05-Jul-2000,1229.26
06-Jul-2000,1220.05
07-Jul-2000,1215.62
10-Jul-2000,1208.49
11-Jul-2000,1203.46
12-Jul-2000,1227.95
13-Jul-2000,1208.22
14-Jul-2000,1201.42
17-Jul-2000,1179.98
18-Jul-2000,1167.42
19-Jul-2000,1146.52
20-Jul-2000,1136.91
21-Jul-2000,1113.47
24-Jul-2000,1039.9
25-Jul-2000,1082.7
26-Jul-2000,1051.27
27-Jul-2000,1072.9
28-Jul-2000,1069.42
31-Jul-2000,1062.99
01-Aug-2000,1054.38
02-Aug-2000,1058.64
03-Aug-2000,1044.44
04-Aug-2000,1024.71
07-Aug-2000,1020.89
08-Aug-2000,1050.99
09-Aug-2000,1060.4
10-Aug-2000,1041.79
11-Aug-2000,1031.93
14-Aug-2000,1037.79
16-Aug-2000,1068.72
17-Aug-2000,1060.97
18-Aug-2000,1077.6
21-Aug-2000,1092.18
22-Aug-2000,1100.78
23-Aug-2000,1099.94
24-Aug-2000,1116.98
25-Aug-2000,1118.87
28-Aug-2000,1110.47
29-Aug-2000,1112.59
30-Aug-2000,1123.65
31-Aug-2000,1137.78
04-Sep-2000,1165.73
05-Sep-2000,1165.96
06-Sep-2000,1174.99
07-Sep-2000,1178.64
08-Sep-2000,1187.4
11-Sep-2000,1186.25
12-Sep-2000,1192.32
13-Sep-2000,1184.46
14-Sep-2000,1176.67
15-Sep-2000,1140.72
18-Sep-2000,1088.83
19-Sep-2000,1063.78
20-Sep-2000,1085.54
21-Sep-2000,1066.18
22-Sep-2000,1014.21
25-Sep-2000,1055.67
26-Sep-2000,1030.83
27-Sep-2000,1045.89
28-Sep-2000,1023.94
29-Sep-2000,1026.63
03-Oct-2000,1028.84
04-Oct-2000,1038.59
05-Oct-2000,1025.96
06-Oct-2000,1023.77
09-Oct-2000,1004.28
10-Oct-2000,976.57
11-Oct-2000,951.92
12-Oct-2000,959.67
13-Oct-2000,932.34
16-Oct-2000,935.37
17-Oct-2000,915.5
18-Oct-2000,897.52
