Date,SP500TR
04-Jan-88,256.019989
05-Jan-88,258.769989
06-Jan-88,259.029999
07-Jan-88,261.209991
08-Jan-88,243.550003
11-Jan-88,247.669998
12-Jan-88,245.600006
13-Jan-88,246.020004
14-Jan-88,246.089996
15-Jan-88,252.289993
18-Jan-88,252.119995
19-Jan-88,249.570007
20-Jan-88,242.869995
21-Jan-88,243.380005
22-Jan-88,246.75
25-Jan-88,252.509995
26-Jan-88,249.949997
27-Jan-88,249.759995
28-Jan-88,253.669998
29-Jan-88,257.470001
01-Feb-88,255.509995
02-Feb-88,256.149994
03-Feb-88,252.789993
04-Feb-88,252.970001
05-Feb-88,251.919998
08-Feb-88,250.100006
09-Feb-88,252.770004
10-Feb-88,257.76001
11-Feb-88,257.059998
12-Feb-88,258.869995
16-Feb-88,261.140015
17-Feb-88,260.540009
18-Feb-88,259.230011
19-Feb-88,262.959991
22-Feb-88,267.079987
23-Feb-88,266.480011
24-Feb-88,265.959991
25-Feb-88,263.100006
26-Feb-88,263.98999
29-Feb-88,269.480011
01-Mar-88,269.440002
02-Mar-88,269.75
03-Mar-88,269.649994
04-Mar-88,269.100006
07-Mar-88,269.220001
08-Mar-88,271.339996
09-Mar-88,271.029999
10-Mar-88,265.779999
11-Mar-88,266.899994
14-Mar-88,268.359985
15-Mar-88,268.130005
16-Mar-88,270.869995
17-Mar-88,273.269989
18-Mar-88,273.179993
21-Mar-88,270.790009
22-Mar-88,270.899994
23-Mar-88,270.980011
24-Mar-88,265.380005
25-Mar-88,260.720001
28-Mar-88,260.279999
29-Mar-88,262.329987
30-Mar-88,260.320007
31-Mar-88,261.149994
04-Apr-88,258.410004
05-Apr-88,260.890015
06-Apr-88,267.940002
07-Apr-88,268.609985
08-Apr-88,271.920013
11-Apr-88,272.679993
12-Apr-88,273.899994
13-Apr-88,274.109985
14-Apr-88,262.209991
15-Apr-88,262.230011
18-Apr-88,261.679993
19-Apr-88,260.390015
20-Apr-88,258.579987
21-Apr-88,258.880005
22-Apr-88,262.640015
25-Apr-88,265.040009
26-Apr-88,266.609985
27-Apr-88,266.519989
28-Apr-88,265.320007
29-Apr-88,264.040009
02-May-88,264.329987
03-May-88,265.890015
04-May-88,263.230011
05-May-88,261.839996
06-May-88,260.589996
09-May-88,259.880005
10-May-88,261.01001
11-May-88,256.649994
12-May-88,257.209991
13-May-88,260.200012
16-May-88,262.290009
17-May-88,259.049988
18-May-88,255.020004
19-May-88,256.299988
20-May-88,256.76001
23-May-88,254.580002
24-May-88,257.329987
25-May-88,257.640015
26-May-88,258.529999
27-May-88,257.399994
31-May-88,266.320007
01-Jun-88,270.950012
02-Jun-88,269.579987
03-Jun-88,270.73999
06-Jun-88,271.410004
07-Jun-88,269.559998
08-Jun-88,276.019989
09-Jun-88,274.779999
10-Jun-88,275.869995
13-Jun-88,276.070007
14-Jun-88,279.01001
15-Jun-88,279.170013
16-Jun-88,274.420013
17-Jun-88,275.359985
20-Jun-88,273.619995
21-Jun-88,276.399994
22-Jun-88,280.459991
23-Jun-88,279.609985
24-Jun-88,278.73999
27-Jun-88,273.970001
28-Jun-88,277.320007
29-Jun-88,275.970001
30-Jun-88,278.540009
01-Jul-88,276.859985
05-Jul-88,281.049988
06-Jul-88,277.190002
07-Jul-88,276.950012
08-Jul-88,275.160004
11-Jul-88,275.730011
12-Jul-88,272.980011
13-Jul-88,274.480011
14-Jul-88,275.470001
15-Jul-88,277.290009
18-Jul-88,275.73999
19-Jul-88,273.679993
20-Jul-88,275.230011
21-Jul-88,271.829987
22-Jul-88,268.609985
25-Jul-88,269.890015
26-Jul-88,270.450012
27-Jul-88,267.76001
28-Jul-88,271.350006
29-Jul-88,277.48999
01-Aug-88,277.76001
02-Aug-88,277.709991
03-Aug-88,278.679993
04-Aug-88,277.809998
05-Aug-88,277.070007
08-Aug-88,275.959991
09-Aug-88,272.570007
10-Aug-88,267.890015
11-Aug-88,268.799988
12-Aug-88,268.600006
15-Aug-88,264.769989
16-Aug-88,266.730011
17-Aug-88,266.950012
18-Aug-88,267.23999
19-Aug-88,266.450012
22-Aug-88,263.179993
23-Aug-88,263.299988
24-Aug-88,267.440002
25-Aug-88,265.459991
26-Aug-88,266.040009
29-Aug-88,268.859985
30-Aug-88,269.079987
31-Aug-88,268.070007
01-Sep-88,264.850006
02-Sep-88,271.190002
06-Sep-88,272.369995
07-Sep-88,272.660004
08-Sep-88,272.690002
09-Sep-88,273.779999
12-Sep-88,273.410004
13-Sep-88,274.420013
14-Sep-88,276.359985
15-Sep-88,275.160004
16-Sep-88,277.76001
19-Sep-88,275.890015
20-Sep-88,276.929993
