Date,USD
28-05-20,75.7501
27-05-20,75.6476
26-05-20,75.6404
22-05-20,75.7868
21-05-20,75.7785
20-05-20,75.6712
19-05-20,75.6638
18-05-20,75.9345
15-05-20,75.5634
14-05-20,75.444
13-05-20,75.3885
12-05-20,75.7944
11-05-20,75.6838
08-05-20,75.4411
06-05-20,75.6911
05-05-20,75.5715
04-05-20,75.7902
30-04-20,75.115
29-04-20,75.6961
28-04-20,76.371
27-04-20,76.1269
24-04-20,76.4173
23-04-20,76.0635
22-04-20,76.8084
21-04-20,76.6516
20-04-20,76.6335
17-04-20,76.5444
16-04-20,76.7408
15-04-20,76.2743
13-04-20,76.3617
09-04-20,76.4577
08-04-20,76.0867
07-04-20,75.8438
03-04-20,75.8276
31-03-20,75.3859
30-03-20,75.3451
27-03-20,74.8434
26-03-20,75.2392
24-03-20,76.1522
23-03-20,75.8814
20-03-20,75.0063
19-03-20,75.0583
18-03-20,74.1727
17-03-20,74.0309
16-03-20,74.2723
13-03-20,74.0694
12-03-20,74.1694
11-03-20,73.8128
09-03-20,73.9538
06-03-20,73.6629
05-03-20,73.2824
04-03-20,73.5603
03-03-20,72.8733
02-03-20,72.242
28-02-20,72.1895
27-02-20,71.6124
26-02-20,71.7291
25-02-20,71.8598
24-02-20,71.8522
20-02-20,71.5899
18-02-20,71.4013
17-02-20,71.4259
14-02-20,71.3865
13-02-20,71.4699
12-02-20,71.258
11-02-20,71.2291
10-02-20,71.3046
07-02-20,71.2476
06-02-20,71.2558
05-02-20,71.2664
04-02-20,71.135
03-02-20,71.5803
31-01-20,71.5096
30-01-20,71.4772
29-01-20,71.1875
28-01-20,71.3263
27-01-20,71.3948
24-01-20,71.2404
23-01-20,71.2437
22-01-20,71.2056
21-01-20,71.1825
20-01-20,71.057
17-01-20,71.0436
16-01-20,70.9065
15-01-20,70.8753
14-01-20,70.9242
13-01-20,70.8115
10-01-20,71.1136
09-01-20,71.4221
08-01-20,72.0178
07-01-20,71.7764
06-01-20,72.0919
03-01-20,71.6949
02-01-20,71.3429
01-01-20,71.3717
31-12-19,71.274
30-12-19,71.3449
27-12-19,71.2214
26-12-19,71.2699
24-12-19,71.1959
23-12-19,71.1699
20-12-19,71.1569
19-12-19,71.0813
18-12-19,71.0611
17-12-19,70.9687
16-12-19,70.941
13-12-19,70.7178
12-12-19,70.7494
11-12-19,70.8679
10-12-19,70.8962
09-12-19,71.162
06-12-19,71.3165
05-12-19,71.5476
04-12-19,71.78
03-12-19,71.6006
02-12-19,71.7217
29-11-19,71.7255
28-11-19,71.5147
27-11-19,71.3627
26-11-19,71.5909
25-11-19,71.6468
22-11-19,71.8514
21-11-19,71.7996
20-11-19,71.6756
19-11-19,71.8138
18-11-19,71.7131
15-11-19,71.7109
14-11-19,72.0501
13-11-19,71.7002
11-11-19,71.445
08-11-19,71.2494
07-11-19,71.0079
06-11-19,70.8861
05-11-19,70.7283
04-11-19,70.6821
01-11-19,70.8798
31-10-19,70.8095
30-10-19,70.9915
29-10-19,70.7303
25-10-19,70.9593
24-10-19,70.9338
23-10-19,70.9373
22-10-19,70.8731
18-10-19,71.1988
17-10-19,71.4087
16-10-19,71.5051
15-10-19,71.3186
14-10-19,71.0188
11-10-19,71.0272
10-10-19,71.0516
09-10-19,71.1121
07-10-19,70.9763
04-10-19,70.8703
03-10-19,71.1163
01-10-19,70.9109
30-09-19,70.685
27-09-19,70.8381
26-09-19,70.9021
25-09-19,71.0395
24-09-19,70.8477
23-09-19,70.9212
20-09-19,70.937
19-09-19,71.1382
18-09-19,71.3132
17-09-19,71.8196
16-09-19,71.5362
13-09-19,70.9387
12-09-19,71.3175
11-09-19,71.6637
09-09-19,71.5886
06-09-19,71.7323
05-09-19,71.8611
04-09-19,72.07
03-09-19,72.1899
30-08-19,71.7586
29-08-19,71.9971
28-08-19,71.7041
27-08-19,71.8206
26-08-19,72.1814
23-08-19,71.7267
22-08-19,71.7033
21-08-19,71.5508
20-08-19,71.6483
19-08-19,71.3419
16-08-19,71.2872
14-08-19,71.0968
13-08-19,71.2365
09-08-19,70.5185
08-08-19,70.8497
07-08-19,70.9553
06-08-19,70.7226
05-08-19,70.3584
02-08-19,69.3981
01-08-19,69.058
31-07-19,68.8569
30-07-19,68.75
29-07-19,68.9023
26-07-19,69.0611
25-07-19,68.9904
24-07-19,69.0135
23-07-19,68.9922
22-07-19,69.0199
19-07-19,68.8249
18-07-19,68.8758
17-07-19,68.8051
16-07-19,68.5672
15-07-19,68.5836
12-07-19,68.5855
11-07-19,68.3665
10-07-19,68.5269
09-07-19,68.7301
08-07-19,68.6982
05-07-19,68.7499
04-07-19,68.8545
03-07-19,68.8776
02-07-19,68.9924
01-07-19,68.9665
28-06-19,68.918
27-06-19,69.2216
26-06-19,69.3192
25-06-19,69.3398
24-06-19,69.4788
21-06-19,69.6343
20-06-19,69.5645
19-06-19,69.6677
18-06-19,69.801
17-06-19,69.8362
14-06-19,69.5646
13-06-19,69.3579
12-06-19,69.4048
11-06-19,69.4222
10-06-19,69.4598
07-06-19,69.3019
06-06-19,69.3205
04-06-19,69.2918
03-06-19,69.4338
31-05-19,69.8058
30-05-19,69.7852
29-05-19,69.8805
28-05-19,69.6142
27-05-19,69.4327
24-05-19,69.6096
23-05-19,69.6732
22-05-19,69.7655
21-05-19,69.7291
20-05-19,69.5466
17-05-19,70.1666
16-05-19,70.2469
15-05-19,70.2087
14-05-19,70.4208
13-05-19,70.2576
10-05-19,69.9212
09-05-19,69.8685
08-05-19,69.6009
07-05-19,69.3095
06-05-19,69.3558
03-05-19,69.2679
02-05-19,69.5419
30-04-19,69.8368
26-04-19,70.1445
25-04-19,69.9418
24-04-19,69.9045
23-04-19,69.7474
22-04-19,69.7423
18-04-19,69.4189
16-04-19,69.577
15-04-19,69.2293
12-04-19,69.324
11-04-19,68.9742
10-04-19,69.1482
09-04-19,69.5397
08-04-19,69.5142
05-04-19,69.1965
04-04-19,68.8446
03-04-19,68.4896
02-04-19,69.1198
29-03-19,69.1713
28-03-19,69.0038
27-03-19,68.903
26-03-19,68.8469
25-03-19,68.9903
22-03-19,68.6607
20-03-19,68.8604
19-03-19,68.5847
18-03-19,68.6088
15-03-19,69.2131
14-03-19,69.6657
13-03-19,69.6225
12-03-19,69.595
11-03-19,69.9308
08-03-19,70.101
07-03-19,70.0268
06-03-19,70.5798
05-03-19,70.7601
01-03-19,70.9696
28-02-19,71.1953
27-02-19,71.1663
26-02-19,71.0952
25-02-19,71.042
22-02-19,71.2177
21-02-19,71.154
20-02-19,71.1773
18-02-19,71.4705
15-02-19,71.2515
14-02-19,70.9408
13-02-19,70.5547
12-02-19,70.9353
11-02-19,71.1621
08-02-19,71.2949
07-02-19,71.4688
06-02-19,71.5731
05-02-19,71.7459
04-02-19,71.658
01-02-19,71.1102
31-01-19,71.0333
30-01-19,71.2442
29-01-19,71.0942
28-01-19,71.134
25-01-19,71.1051
24-01-19,71.282
23-01-19,71.2039
22-01-19,71.3761
21-01-19,71.3782
18-01-19,71.1418
17-01-19,71.3418
16-01-19,71.1847
15-01-19,71.0298
14-01-19,70.8244
11-01-19,70.4737
10-01-19,70.5135
09-01-19,70.4418
08-01-19,70.0221
07-01-19,69.4814
04-01-19,69.8653
03-01-19,70.3627
02-01-19,69.6089
01-01-19,69.7131
31-12-18,69.7923
28-12-18,69.9786
27-12-18,70.327
26-12-18,69.9906
24-12-18,70.1757
21-12-18,70.0368
20-12-18,70.2835
19-12-18,70.1094
18-12-18,71.194
17-12-18,71.673
14-12-18,71.7359
13-12-18,71.5368
12-12-18,72.0407
11-12-18,71.9274
10-12-18,71.3257
07-12-18,70.5663
06-12-18,71.0371
05-12-18,70.5171
04-12-18,70.3455
03-12-18,70.028
30-11-18,69.6574
29-11-18,69.9159
28-11-18,70.6881
27-11-18,70.9065
26-11-18,70.7144
22-11-18,71.1787
20-11-18,71.3276
19-11-18,71.9007
16-11-18,71.8023
15-11-18,72.16
14-11-18,72.1039
13-11-18,72.5853
12-11-18,72.9078
09-11-18,72.7347
06-11-18,73.0097
05-11-18,73.074
02-11-18,72.8798
01-11-18,73.8295
31-10-18,73.9936
30-10-18,73.5709
29-10-18,73.4181
26-10-18,73.374
25-10-18,73.2746
24-10-18,73.2645
23-10-18,73.7818
22-10-18,73.3025
19-10-18,73.4354
17-10-18,73.4846
16-10-18,73.9041
15-10-18,73.9708
12-10-18,73.7967
11-10-18,74.3875
10-10-18,74.1316
09-10-18,74.0989
08-10-18,73.9235
05-10-18,73.5809
04-10-18,73.7509
03-10-18,73.0299
01-10-18,72.8036
28-09-18,72.5474
27-09-18,72.6505
26-09-18,72.7182
25-09-18,72.8134
24-09-18,72.6927
21-09-18,71.8489
19-09-18,72.6781
18-09-18,72.3796
17-09-18,72.5505
14-09-18,71.8129
12-09-18,72.7549
11-09-18,72.3227
10-09-18,72.5745
07-09-18,71.9009
06-09-18,71.9214
05-09-18,71.7533
04-09-18,71.1857
03-09-18,70.7695
31-08-18,70.9255
30-08-18,70.7329
29-08-18,70.5046
28-08-18,70.1687
27-08-18,70.0366
24-08-18,70.1377
23-08-18,70.0656
21-08-18,69.6668
20-08-18,69.7617
16-08-18,70.2287
14-08-18,69.7696
13-08-18,69.4685
10-08-18,68.9538
09-08-18,68.624
08-08-18,68.6465
07-08-18,68.8
06-08-18,68.6833
03-08-18,68.7933
02-08-18,68.3566
01-08-18,68.6058
31-07-18,68.6068
30-07-18,68.7531
27-07-18,68.7041
26-07-18,68.7017
25-07-18,68.8028
24-07-18,69.053
23-07-18,68.704
20-07-18,68.8458
19-07-18,68.8331
18-07-18,68.5652
17-07-18,68.2978
16-07-18,68.5877
13-07-18,68.4094
12-07-18,68.6313
11-07-18,68.829
10-07-18,68.7942
