PERMNO,date,SHRCD,EXCHCD,TICKER,COMNAM,PRC,SHROUT,Mcap
14593,20191231,11,3,AAPL,APPLE INC,293.64999,4443265,"1,304.76"
10107,20191231,11,3,MSFT,MICROSOFT CORP,157.7,7632139,"1,203.59"
84788,20191231,11,3,AMZN,AMAZON COM INC,1847.83997,495797,916.15
13407,20191231,11,3,FB,FACEBOOK INC,205.25,2406468,493.93
14542,20191231,11,3,GOOG,ALPHABET INC,1337.02002,343551,459.33
47896,20191231,11,1,JPM,JPMORGAN CHASE & CO,139.39999,3136485,437.23
90319,20191231,11,3,GOOGL,ALPHABET INC,1339.39001,299628,401.32
22111,20191231,11,1,JNJ,JOHNSON & JOHNSON,145.87,2631872,383.91
55976,20191231,11,1,WMT,WALMART INC,118.84,2837175,337.17
92611,20191231,11,1,V,VISA INC,187.89999,1711838,321.65
59408,20191231,11,1,BAC,BANK OF AMERICA CORP,35.22,8995107,316.81
83443,20191231,11,1,BRK,BERKSHIRE HATHAWAY INC DEL,226.5,1383415,313.34
18163,20191231,11,1,PG,PROCTER & GAMBLE CO,124.9,2493812,311.48
91233,20191231,11,1,MA,MASTERCARD INC,298.59,997449,297.83
11850,20191231,11,1,XOM,EXXON MOBIL CORP,69.78,4231106,295.25
66093,20191231,11,1,T,A T & T INC,39.08,7305000,285.48
92655,20191231,11,1,UNH,UNITEDHEALTH GROUP INC,293.98001,947415,278.52
26403,20191231,11,1,DIS,DISNEY WALT CO,144.63,1802398,260.68
59328,20191231,11,3,INTC,INTEL CORP,59.85,4350000,260.35
65875,20191231,11,1,VZ,VERIZON COMMUNICATIONS INC,61.4,4135784,253.94
17778,20191231,11,1,BRK,BERKSHIRE HATHAWAY INC DEL,339590,708,240.43
66181,20191231,11,1,HD,HOME DEPOT INC,218.38,1090831,238.22
11308,20191231,11,1,KO,COCA COLA CO,55.35,4284491,237.15
22752,20191231,11,1,MRK,MERCK & CO INC NEW,90.95,2545984,231.56
14541,20191231,11,1,CVX,CHEVRON CORP NEW,120.51,1890872,227.87
38703,20191231,11,1,WFC,WELLS FARGO & CO NEW,53.8,4229359,227.54
21936,20191231,11,1,PFE,PFIZER INC,39.18,5534122,216.83
89525,20191231,11,3,CMCSA,COMCAST CORP NEW,44.97,4539806,204.16
76076,20191231,11,3,CSCO,CISCO SYSTEMS INC,47.96,4242263,203.46
13856,20191231,11,3,PEP,PEPSICO INC,136.67,1394435,190.58
19561,20191231,11,1,BA,BOEING CO,325.76001,562791,183.33
70519,20191231,11,1,C,CITIGROUP INC,79.89,2183194,174.42
10104,20191231,11,1,ORCL,ORACLE CORP,52.98,3207649,169.94
75510,20191231,11,3,ADBE,ADOBE INC,329.81,484079,159.65
20482,20191231,11,1,ABT,ABBOTT LABORATORIES,86.86,1768456,153.61
19393,20191231,11,1,BMY,BRISTOL MYERS SQUIBB CO,64.19,2344185,150.47
43449,20191231,11,1,MCD,MCDONALDS CORP,197.61,753093,148.82
90215,20191231,11,1,CRM,SALESFORCE COM INC,162.64,887000,144.26
86580,20191231,11,3,NVDA,NVIDIA CORP,235.3,612000,144.00
14008,20191231,11,3,AMGN,AMGEN INC,241.07001,594184,143.24
89393,20191231,11,3,NFLX,NETFLIX INC,323.57001,438251,141.80
92602,20191231,11,1,PM,PHILIP MORRIS INTERNATIONAL INC,85.09,1555875,132.39
13721,20191231,11,1,ABBV,ABBVIE INC,88.54,1478821,130.93
62092,20191231,11,1,TMO,THERMO FISHER SCIENTIFIC INC,324.87,400991,130.27
